"srch_id","prop_id","click_bool","booking_bool"
245,125997,1,1
246,54795,1,1
247,35809,1,1
253,45482,1,0
254,79394,1,0
255,2885,1,1
256,57125,1,0
257,53657,1,1
258,16097,1,1
261,66729,1,1
264,92584,1,0
267,9997,1,1
268,131872,1,1
269,2889,1,1
270,90781,1,1
271,42896,1,1
272,913,1,1
274,103307,1,1
275,22578,1,1
276,74164,1,0
277,2951,1,0
278,91172,1,1
279,80946,1,1
280,61286,1,1
282,97689,1,1
283,35986,1,1
284,5251,1,1
285,38898,1,1
286,78971,1,1
287,58040,1,0
288,47525,1,0
291,5792,1,1
292,109225,1,0
295,102445,1,1
296,69881,1,1
297,8349,1,1
298,135897,1,1
299,104828,1,1
300,19442,1,0
302,65,1,1
304,61717,1,1
307,130699,1,1
308,100586,1,1
309,133786,1,1
310,37256,1,1
315,10429,1,1
317,60758,1,0
318,25424,1,1
319,40895,1,1
320,96585,1,1
321,17723,1,0
322,11414,1,0
322,63682,1,0
323,83018,1,0
323,102395,1,0
327,85555,1,1
328,70368,1,1
329,25464,1,0
333,121287,1,1
334,133200,1,1
335,76088,1,1
338,92430,1,1
339,33471,1,1
341,102874,1,1
342,125868,1,1
344,59780,1,1
345,64381,1,0
346,120386,1,0
347,140337,1,1
349,37639,1,1
350,44791,1,1
352,44213,1,1
357,56113,1,0
358,49532,1,0
360,18688,1,0
362,67542,1,0
363,46192,1,0
364,73760,1,1
366,109103,1,1
368,52839,1,1
369,114250,1,1
373,96413,1,0
374,59541,1,1
374,79031,1,0
374,83956,1,0
374,85578,1,0
374,124619,1,0
378,2476,1,0
380,137592,1,1
381,29184,1,1
382,77292,1,1
383,93131,1,1
384,67640,1,1
387,94859,1,1
389,47865,1,1
390,21198,1,0
391,41326,1,1
392,13004,1,1
393,16826,1,0
394,77965,1,0
395,118337,1,1
396,79083,1,1
398,36227,1,1
401,96426,1,1
403,54116,1,1
404,25820,1,0
408,62820,1,0
409,60370,1,1
410,76854,1,1
414,29749,1,1
415,9992,1,1
416,93150,1,1
417,16128,1,0
419,18634,1,1
420,20362,1,1
421,131582,1,0
422,42967,1,1
423,134058,1,1
425,90621,1,0
426,58041,1,0
427,67746,1,1
428,61820,1,1
429,67837,1,0
432,134786,1,0
433,53393,1,0
436,94352,1,1
437,27119,1,0
438,120968,1,0
440,24037,1,1
442,3553,1,0
443,125864,1,1
446,67607,1,1
447,49733,1,1
448,90643,1,1
450,136268,1,1
453,14818,1,1
454,27010,1,1
454,84584,1,0
455,52810,1,0
459,113539,1,1
460,88514,1,1
464,41993,1,1
466,110251,1,1
467,87513,1,0
468,82483,1,1
469,37818,1,1
472,49034,1,1
476,37489,1,1
478,125643,1,1
480,90206,1,1
481,133579,1,1
482,84802,1,1
483,2103,1,1
485,110225,1,0
487,53141,1,1
488,22431,1,1
489,126944,1,1
490,117347,1,1
491,52007,1,1
491,50202,1,0
492,94762,1,0
493,61598,1,1
494,81249,1,1
495,38904,1,0
495,90809,1,0
496,124858,1,1
497,84724,1,1
499,100748,1,1
500,36820,1,1
501,11020,1,1
504,75457,1,1
505,124845,1,1
506,22039,1,1
507,111440,1,1
509,126595,1,1
511,35081,1,0
512,35125,1,0
513,60857,1,1
515,74799,1,1
516,69334,1,1
519,14352,1,0
519,85106,1,0
520,44737,1,0
521,15994,1,0
523,5385,1,0
525,122359,1,1
526,25413,1,1
527,111116,1,1
528,70934,1,1
529,31442,1,0
530,67560,1,1
531,121764,1,1
533,30277,1,1
535,99030,1,0
536,85065,1,0
538,139589,1,0
541,20013,1,0
542,26857,1,0
544,108834,1,1
546,9812,1,0
548,116942,1,1
549,14301,1,1
550,126755,1,1
552,104112,1,1
554,45612,1,1
555,94438,1,1
558,115929,1,0
559,34747,1,1
561,53848,1,0
562,119274,1,0
563,76246,1,1
564,71686,1,1
565,92307,1,1
566,32248,1,1
567,4688,1,1
570,53264,1,1
572,33815,1,1
573,1230,1,0
574,58990,1,0
576,27982,1,1
577,61203,1,0
578,15662,1,0
579,25486,1,0
582,39639,1,1
584,86428,1,1
585,88219,1,0
588,5733,1,1
589,130530,1,0
591,67846,1,0
594,91975,1,1
596,57230,1,1
599,29501,1,0
600,131352,1,1
601,71158,1,1
603,108262,1,1
605,100586,1,0
606,37355,1,1
609,140414,1,0
611,53443,1,0
620,13237,1,0
622,47818,1,1
624,23776,1,0
625,95101,1,0
629,28232,1,1
630,24767,1,1
631,78613,1,1
632,21283,1,1
634,23757,1,0
635,23345,1,0
636,80468,1,1
637,81465,1,1
638,138985,1,1
639,42822,1,1
640,75408,1,0
641,49656,1,1
642,131920,1,0
643,103693,1,1
647,68783,1,0
648,55092,1,1
650,31073,1,1
650,14750,1,0
650,88133,1,0
651,93631,1,1
653,63945,1,1
660,16221,1,1
661,42936,1,1
663,108440,1,0
664,16230,1,1
670,136051,1,1
671,104092,1,1
673,30222,1,0
675,58167,1,1
676,65516,1,0
677,106404,1,1
678,92839,1,1
679,126234,1,1
681,99958,1,1
682,25159,1,0
684,125897,1,1
685,58132,1,1
686,76087,1,1
688,83840,1,1
689,132658,1,1
691,24624,1,1
692,2835,1,0
694,5830,1,1
696,99616,1,1
697,121304,1,0
698,123156,1,1
699,121617,1,1
700,62762,1,0
703,49547,1,0
703,57847,1,0
703,79092,1,0
704,110280,1,0
705,80932,1,0
707,77254,1,1
709,23268,1,1
710,60176,1,0
710,79389,1,0
711,66438,1,0
714,117163,1,1
719,45099,1,0
720,67839,1,0
721,4767,1,1
722,113517,1,1
723,70659,1,1
725,34818,1,1
726,117255,1,1
727,18338,1,1
728,6393,1,0
730,11850,1,0
731,44476,1,1
733,133077,1,0
736,27525,1,1
742,99743,1,1
743,95832,1,0
744,63018,1,1
746,81919,1,1
747,23308,1,1
748,88307,1,0
749,135487,1,0
751,49039,1,1
752,69947,1,1
755,40998,1,0
757,125096,1,1
758,49162,1,0
759,67667,1,0
759,115841,1,0
761,92093,1,1
762,30880,1,1
764,31912,1,1
766,16412,1,1
766,18542,1,0
767,81489,1,0
769,51354,1,1
774,87749,1,1
777,32626,1,0
779,48432,1,0
779,52679,1,0
780,54876,1,0
782,24138,1,1
783,22013,1,1
784,131131,1,1
784,16499,1,0
785,65235,1,1
786,81830,1,0
787,120165,1,1
789,39526,1,1
790,59657,1,0
792,67477,1,0
793,6609,1,1
796,124470,1,1
797,29912,1,1
797,44733,1,0
799,87342,1,0
800,49656,1,1
802,117540,1,1
803,114733,1,0
804,101520,1,1
806,114257,1,1
811,79740,1,0
812,130255,1,0
813,19311,1,1
814,135423,1,0
815,135154,1,0
816,24131,1,1
816,85601,1,0
818,4309,1,1
819,104653,1,1
825,112919,1,0
826,50472,1,1
828,104504,1,1
829,99786,1,1
831,99180,1,0
832,22290,1,0
833,125482,1,1
834,78054,1,1
835,129417,1,1
836,55396,1,1
838,81676,1,1
839,85922,1,1
841,63600,1,1
842,97123,1,1
843,34151,1,1
848,93282,1,0
849,20978,1,1
851,56042,1,0
854,23373,1,1
855,80556,1,1
857,15455,1,1
859,806,1,1
863,14506,1,1
864,42609,1,1
865,47165,1,1
867,46684,1,1
867,27498,1,0
867,52376,1,0
869,66017,1,1
870,51979,1,1
870,134966,1,0
871,135790,1,1
872,20494,1,1
873,107305,1,1
874,15822,1,0
875,73141,1,1
876,107012,1,1
877,44986,1,1
878,55865,1,1
881,27069,1,1
885,132464,1,1
886,114384,1,1
887,39592,1,0
889,135816,1,1
890,17669,1,1
892,128152,1,1
893,92161,1,0
894,22013,1,0
895,41261,1,1
896,76443,1,1
897,32292,1,1
897,84209,1,0
898,133716,1,1
899,124443,1,0
902,136159,1,1
903,18910,1,0
904,115387,1,0
907,102234,1,1
908,13302,1,1
910,58481,1,1
910,30764,1,0
910,106652,1,0
911,26509,1,1
912,6532,1,0
913,51073,1,0
914,42595,1,0
915,66939,1,1
916,44143,1,1
920,51410,1,0
922,68896,1,0
924,24828,1,1
924,34692,1,0
925,34519,1,1
925,88136,1,0
933,40783,1,0
934,97391,1,1
935,84469,1,1
936,48574,1,1
938,140065,1,1
940,76996,1,0
943,40564,1,1
944,58759,1,0
946,131026,1,1
948,78552,1,1
951,83142,1,1
953,7268,1,0
954,62726,1,1
954,43657,1,0
956,1690,1,1
958,109415,1,1
959,103937,1,0
960,131140,1,1
962,38332,1,1
963,80016,1,1
965,66769,1,0
966,71795,1,1
968,110204,1,1
970,81804,1,1
971,47110,1,0
972,61484,1,1
973,106017,1,1
974,44868,1,0
976,82487,1,1
977,25696,1,1
978,105382,1,1
979,119002,1,0
980,107794,1,1
985,65855,1,1
987,125655,1,0
988,121955,1,1
989,73890,1,1
990,37818,1,0
991,106230,1,0
994,83753,1,1
994,46362,1,0
995,129488,1,1
996,10297,1,1
996,54702,1,0
997,105746,1,1
998,91664,1,1
1001,136686,1,1
1001,133227,1,0
1002,128155,1,1
1003,39286,1,1
1004,38782,1,0
1007,10882,1,1
1008,89995,1,1
1009,30522,1,1
1012,115241,1,1
1013,93654,1,1
1014,53341,1,1
1017,8729,1,1
1019,121972,1,1
1020,129295,1,0
1022,137562,1,1
1023,7858,1,0
1024,50237,1,1
1025,75484,1,1
1026,123898,1,1
1026,56697,1,0
1029,85724,1,1
1031,132817,1,1
1033,10636,1,1
1034,36684,1,1
1036,117848,1,1
1038,43699,1,1
1039,64666,1,1
1040,68495,1,0
1040,72424,1,0
1043,53853,1,0
1044,103645,1,0
1046,138900,1,1
1049,85965,1,1
1054,9614,1,0
1058,75807,1,1
1060,68046,1,1
1061,42870,1,1
1062,108981,1,1
1063,79899,1,1
1066,98923,1,0
1068,124649,1,1
1069,66700,1,1
1070,43992,1,0
1071,86304,1,1
1073,44548,1,0
1075,96231,1,1
1076,64841,1,1
1077,34424,1,0
1077,131175,1,0
1078,120160,1,1
1079,33240,1,1
1080,131607,1,1
1081,133026,1,1
1082,82941,1,1
1083,128558,1,1
1086,68153,1,0
1087,69938,1,1
1088,111392,1,1
1089,48109,1,0
1090,94065,1,1
1093,6774,1,0
1095,122268,1,1
1100,140808,1,1
1101,85414,1,1
1102,29792,1,1
1104,65984,1,0
1106,79781,1,1
1107,12953,1,1
1108,133452,1,1
1109,44168,1,1
1112,92896,1,1
1113,13019,1,1
1114,130855,1,0
1116,57068,1,1
1117,120367,1,1
1118,41488,1,1
1120,44239,1,1
1121,82903,1,1
1123,19938,1,1
1124,93779,1,1
1126,67186,1,0
1128,68744,1,1
1131,136248,1,1
1132,42961,1,0
1132,129645,1,0
1133,92463,1,1
1134,76831,1,1
1135,121287,1,0
1136,58060,1,0
1136,66722,1,0
1137,79893,1,1
1138,94080,1,1
1139,98803,1,0
1140,102171,1,1
1141,104610,1,1
1143,111753,1,0
1144,116952,1,0
1145,116942,1,1
1147,94897,1,0
1149,81535,1,1
1151,901,1,1
1152,136008,1,1
1152,39932,1,0
1158,81295,1,1
1161,37543,1,1
1162,138482,1,1
1164,39760,1,0
1165,37494,1,1
1165,113252,1,0
1166,93944,1,0
1168,55078,1,1
1169,89435,1,1
1170,132925,1,0
1172,73984,1,1
1173,116919,1,0
1174,5105,1,0
1175,81694,1,0
1178,113733,1,0
1179,50078,1,1
1180,46162,1,1
1184,100611,1,0
1185,88620,1,1
1187,126643,1,0
1190,135822,1,1
1191,134104,1,1
1192,109309,1,1
1194,2632,1,0
1195,80313,1,1
1197,122131,1,1
1198,21745,1,1
1199,102234,1,1
1201,95123,1,1
1204,53494,1,1
1205,91923,1,1
1207,9382,1,1
1208,84526,1,0
1208,124166,1,0
1209,113541,1,1
1210,3022,1,1
1211,84691,1,0
1213,83261,1,1
1216,45230,1,1
1217,67930,1,0
1219,110738,1,0
1220,72859,1,1
1221,63470,1,1
1222,92908,1,1
1223,134162,1,0
1224,95757,1,1
1224,133102,1,0
1225,95109,1,1
1226,27936,1,0
1227,116710,1,1
1228,54818,1,1
1231,67964,1,1
1232,27149,1,1
1235,96662,1,1
1236,24041,1,0
1237,74137,1,0
1238,86334,1,1
1239,3518,1,1
1240,80810,1,1
1242,38130,1,1
1242,3776,1,0
1244,31666,1,1
1245,103683,1,1
1245,90501,1,0
1246,37315,1,0
1249,16477,1,1
1251,130181,1,0
1254,36331,1,0
1255,32952,1,0
1258,19826,1,0
1258,105688,1,0
1260,94194,1,1
1261,105269,1,1
1263,82214,1,0
1264,9126,1,0
1265,94188,1,0
1268,101914,1,1
1269,131525,1,1
1270,103693,1,1
1271,21693,1,0
1272,42714,1,1
1277,52304,1,1
1280,92927,1,0
1282,62726,1,1
1283,35223,1,0
1285,31073,1,0
1285,50780,1,0
1285,88851,1,0
1285,105274,1,0
1286,89202,1,0
1287,25424,1,0
1288,6546,1,1
1289,109938,1,1
1290,94676,1,1
1292,32842,1,1
1293,32114,1,1
1294,103124,1,1
1296,30558,1,0
1297,23457,1,1
1297,128923,1,0
1299,73599,1,0
1301,45868,1,0
1303,47635,1,1
1304,42114,1,0
1306,61899,1,0
1309,62030,1,1
1310,15366,1,0
1310,116392,1,0
1313,13777,1,0
1315,33354,1,0
1315,64159,1,0
1318,63042,1,1
1321,53341,1,1
1321,29604,1,0
1323,109731,1,0
1324,118674,1,1
1325,5847,1,0
1326,114247,1,1
1328,107857,1,1
1330,113931,1,0
1331,127861,1,1
1332,123546,1,1
1335,110967,1,0
1338,67161,1,0
1340,7739,1,0
1341,112947,1,1
1342,24207,1,1
1344,31268,1,0
1345,94911,1,0
1346,82269,1,1
1350,45753,1,0
1354,9717,1,1
1359,122254,1,1
1360,108569,1,0
1361,73839,1,1
1362,2806,1,0
1365,85504,1,0
1366,135228,1,1
1367,120474,1,1
1368,101968,1,1
1370,93725,1,1
1371,46809,1,1
1373,87027,1,0
1375,85757,1,0
1377,47864,1,1
1378,129600,1,1
1381,29020,1,1
1383,122582,1,1
1385,32114,1,0
1385,81720,1,0
1386,125201,1,1
1387,49405,1,1
1388,85621,1,1
1389,48320,1,0
1390,23236,1,1
1392,8998,1,1
1393,88329,1,1
1397,6074,1,1
1398,3599,1,1
1399,9783,1,1
1401,19686,1,1
1402,123157,1,1
1403,25997,1,1
1404,83616,1,1
1405,21579,1,0
1407,74514,1,1
1410,99855,1,0
1411,21129,1,1
1412,103259,1,1
1414,64949,1,0
1415,74167,1,1
1416,102347,1,1
1419,113302,1,1
1420,68470,1,1
1421,92824,1,1
1422,12571,1,1
1423,119227,1,1
1428,118845,1,0
1429,47687,1,1
1430,17739,1,1
1431,18425,1,1
1433,107282,1,1
1434,11294,1,0
1436,65898,1,1
1437,60993,1,0
1438,100736,1,1
1440,80688,1,1
1441,134288,1,1
1444,138143,1,1
1445,92827,1,1
1446,10639,1,0
1446,12775,1,0
1446,61616,1,0
1446,71331,1,0
1446,72984,1,0
1446,78558,1,0
1447,123479,1,1
1450,91781,1,0
1452,95990,1,1
1453,57978,1,1
1454,38981,1,1
1454,94261,1,0
1459,59318,1,1
1460,23027,1,1
1462,38495,1,1
1464,16764,1,1
1465,126000,1,1
1466,93423,1,1
1467,22244,1,1
1468,32031,1,0
1470,100666,1,1
1470,91512,1,0
1470,116341,1,0
1471,39099,1,1
1473,112191,1,1
1474,58087,1,1
1475,126112,1,1
1476,124795,1,1
1476,68054,1,0
1479,21721,1,1
1480,54723,1,1
1481,72726,1,1
1481,23095,1,0
1482,9467,1,1
1485,102896,1,1
1488,59387,1,1
1490,107069,1,1
1491,98213,1,1
1492,13674,1,1
1492,122582,1,0
1493,63922,1,1
1494,125623,1,1
1495,105959,1,1
1496,106230,1,0
1498,56922,1,1
1499,99106,1,1
1501,114825,1,1
1502,46944,1,1
1502,53575,1,0
1502,73907,1,0
1502,118727,1,0
1503,138320,1,0
1504,4970,1,1
1506,133526,1,1
1507,11948,1,1
1510,119688,1,1
1511,112502,1,1
1512,46965,1,1
1515,33908,1,1
1518,27357,1,1
1519,120694,1,0
1520,77385,1,1
1521,131052,1,0
1523,118859,1,1
1524,100310,1,1
1525,107098,1,0
1527,15808,1,0
1532,31175,1,1
1533,18933,1,1
1534,72166,1,1
1535,116570,1,1
1536,22578,1,1
1537,124277,1,1
1538,45911,1,0
1541,33612,1,0
1541,75052,1,0
1541,78424,1,0
1542,91499,1,1
1543,92045,1,0
1545,89783,1,1
1546,123584,1,0
1547,54940,1,1
1548,89700,1,1
1551,138287,1,1
1553,12377,1,1
1556,59294,1,1
1557,46501,1,1
1561,97967,1,1
1563,50945,1,0
1564,27855,1,1
1566,4778,1,1
1570,119794,1,1
1571,98577,1,1
1573,21018,1,1
1574,55573,1,0
1575,99723,1,1
1576,123565,1,1
1577,100569,1,1
1578,10029,1,1
1579,26057,1,0
1580,35324,1,0
1581,19449,1,1
1582,87755,1,1
1582,110674,1,0
1583,98300,1,0
1585,60850,1,0
1586,72292,1,1
1587,140061,1,0
1590,9601,1,1
1591,16313,1,0
1592,22627,1,1
1595,106404,1,1
1597,21243,1,1
1598,33432,1,0
1601,84584,1,0
1605,5679,1,0
1606,25176,1,1
1608,90469,1,1
1608,55842,1,0
1609,70918,1,1
1611,113050,1,0
1612,96686,1,0
1613,34162,1,1
1614,128913,1,1
1615,78823,1,1
1616,44105,1,1
1618,23073,1,0
1619,31977,1,1
1622,86791,1,1
1625,110546,1,1
1627,111666,1,1
1628,121459,1,1
1630,87071,1,0
1631,61993,1,1
1632,42961,1,1
1633,59354,1,1
1635,53141,1,0
1636,62215,1,1
1637,137042,1,0
1639,34895,1,1
1640,25159,1,1
1642,72597,1,0
1649,10177,1,0
1650,91336,1,1
1651,112443,1,1
1652,138004,1,1
1654,29182,1,1
1656,126761,1,1
1657,65160,1,0
1658,45584,1,1
1659,52953,1,1
1661,19570,1,0
1661,61943,1,0
1661,70576,1,0
1661,72482,1,0
1661,75187,1,0
1661,86339,1,0
1661,124709,1,0
1661,129034,1,0
1662,51823,1,0
1663,130023,1,0
1665,110190,1,1
1667,74013,1,0
1668,131180,1,1
1669,57001,1,0
1670,92950,1,0
1671,98107,1,1
1672,18853,1,0
1675,47318,1,1
1676,19167,1,0
1677,56064,1,1
1678,79513,1,1
1679,95296,1,1
1680,82051,1,0
1680,131402,1,0
1682,14536,1,1
1684,24292,1,1
1686,37948,1,1
1686,35395,1,0
1686,79159,1,0
1688,59546,1,1
1689,53494,1,0
1691,124819,1,1
1692,38102,1,1
1695,95080,1,0
1696,19455,1,1
1697,90205,1,1
1698,33880,1,1
1699,50648,1,1
1700,137425,1,1
1701,34744,1,1
1702,133252,1,1
1704,114250,1,1
1705,114922,1,0
1706,15787,1,1
1706,123483,1,0
1707,40279,1,0
1707,60468,1,0
1710,5335,1,0
1711,38419,1,1
1711,21018,1,0
1711,59781,1,0
1711,116942,1,0
1711,137997,1,0
1712,21182,1,1
1713,98809,1,1
1715,135790,1,0
1716,107028,1,0
1717,9862,1,1
1718,134232,1,1
1720,63098,1,1
1721,122182,1,1
1721,12860,1,0
1722,51944,1,0
1725,26149,1,1
1726,125083,1,0
1727,137318,1,1
1728,101092,1,1
1729,14874,1,1
1730,118786,1,0
1731,112194,1,0
1732,33393,1,0
1734,53177,1,1
1735,118937,1,1
1738,49323,1,1
1739,80564,1,1
1740,61556,1,0
1741,7786,1,1
1744,115954,1,1
1745,22414,1,0
1746,110431,1,1
1747,123896,1,1
1748,14952,1,1
1749,5314,1,0
1750,2148,1,0
1751,46266,1,0
1752,86813,1,1
1753,30417,1,1
1754,71623,1,1
1756,66380,1,0
1757,97054,1,1
1758,107781,1,1
1759,65118,1,1
1761,88422,1,1
1762,68784,1,0
1764,76515,1,0
1765,18798,1,1
1766,94194,1,1
1769,40273,1,0
1770,67887,1,1
1771,64816,1,0
1774,18859,1,0
1775,11848,1,0
1776,128615,1,1
1780,33998,1,0
1780,140158,1,0
1781,101864,1,0
1782,44326,1,0
1783,41586,1,1
1785,112590,1,0
1786,62148,1,1
1787,129032,1,1
1789,135695,1,1
1791,52527,1,1
1794,66669,1,1
1795,89360,1,1
1797,72799,1,1
1799,56796,1,1
1801,645,1,0
1802,1533,1,0
1804,118439,1,1
1805,80271,1,0
1808,85583,1,0
1809,71335,1,0
1810,85336,1,1
1811,103457,1,0
1812,97127,1,1
1815,131543,1,0
1816,71644,1,1
1817,101580,1,1
1819,27999,1,1
1820,54548,1,1
1821,123700,1,1
1822,101696,1,1
1823,50899,1,0
1824,82051,1,1
1827,50810,1,1
1828,79303,1,1
1830,91343,1,1
1835,72841,1,1
1838,65049,1,1
1838,32877,1,0
1839,44497,1,0
1843,85581,1,0
1847,58826,1,1
1847,71057,1,0
1848,10348,1,1
1849,121310,1,1
1850,32887,1,1
1851,19459,1,0
1851,78706,1,0
1854,117139,1,1
1855,101654,1,1
1856,74990,1,1
1857,75071,1,1
1858,86907,1,1
1861,41944,1,1
1862,47609,1,1
1863,95962,1,0
1864,5598,1,1
1865,53229,1,1
1867,58181,1,0
1868,39036,1,0
1868,123197,1,0
1869,63928,1,1
1870,22578,1,1
1872,21960,1,1
1873,80545,1,1
1874,38422,1,0
1875,28685,1,1
1876,80475,1,1
1877,72672,1,1
1878,40378,1,1
1880,62143,1,1
1881,68528,1,1
1883,23268,1,1
1885,38893,1,0
1886,77356,1,0
1887,136206,1,0
1889,67144,1,1
1890,16294,1,1
1891,80618,1,1
1892,72686,1,0
1894,17018,1,1
1898,115710,1,1
1899,100023,1,1
1902,59054,1,1
1903,84736,1,0
1905,6838,1,1
1906,4634,1,0
1907,26015,1,1
1909,75752,1,0
1910,24242,1,0
1911,65288,1,1
1912,64923,1,0
1915,58295,1,1
1920,121329,1,1
1921,100914,1,1
1922,10746,1,0
1924,125652,1,0
1926,99062,1,1
1927,121207,1,1
1931,121557,1,0
1933,55028,1,1
1935,120356,1,1
1937,96873,1,0
1938,13905,1,0
1940,110,1,1
1941,132750,1,1
1941,19235,1,0
1941,105177,1,0
1941,127443,1,0
1941,139880,1,0
1943,60846,1,0
1945,95307,1,1
1947,95440,1,0
1948,60555,1,1
1949,83109,1,0
1950,109545,1,1
1954,43348,1,1
1955,52463,1,1
1955,12507,1,0
1956,137944,1,1
1957,86009,1,0
1958,50264,1,0
1959,22003,1,1
1960,2859,1,1
1962,65270,1,0
1963,112518,1,1
1964,62993,1,1
1965,41423,1,0
1966,67887,1,1
1968,54226,1,1
1969,114264,1,0
1971,58415,1,1
1976,62733,1,0
1977,61740,1,0
1982,102441,1,1
1984,73173,1,0
1985,102731,1,1
1986,133090,1,1
1987,7875,1,0
1992,118674,1,0
1993,52695,1,0
1994,31010,1,1
1996,43038,1,1
1997,133806,1,0
1998,79541,1,1
1999,106734,1,1
2002,111905,1,1
2002,41632,1,0
2003,8161,1,0
2004,99281,1,1
2005,37860,1,0
2006,109160,1,1
2007,58409,1,1
2012,103774,1,1
2013,88593,1,0
2014,5165,1,0
2015,20777,1,1
2016,86244,1,1
2017,103812,1,1
2019,37958,1,0
2021,34214,1,1
2022,22013,1,1
2024,18885,1,0
2026,134954,1,1
2027,15872,1,1
2028,95914,1,1
2029,104528,1,1
2029,106561,1,0
2030,65235,1,1
2031,139845,1,1
2035,41659,1,1
2036,11150,1,1
2037,31486,1,1
2038,75191,1,1
2039,48721,1,0
2041,37818,1,0
2042,49010,1,1
2043,30487,1,0
2044,60771,1,1
2044,126280,1,0
2047,22130,1,0
2049,134202,1,1
2050,35735,1,1
2053,9432,1,1
2054,48629,1,0
2055,110617,1,1
2060,101779,1,1
2061,138564,1,1
2062,137624,1,0
2065,129629,1,1
2068,102535,1,1
2070,67467,1,1
2071,63400,1,1
2072,23122,1,1
2073,124277,1,1
2074,99466,1,1
2074,92350,1,0
2075,102923,1,1
2077,137997,1,0
2079,39218,1,1
2083,1557,1,1
2084,52351,1,1
2086,20077,1,0
2089,99726,1,0
2090,74089,1,1
2091,83244,1,1
2092,4219,1,1
2093,112574,1,0
2097,92257,1,1
2098,96099,1,1
2100,59599,1,0
2103,21495,1,1
2104,72726,1,1
2106,116589,1,0
2107,86599,1,0
2108,76818,1,1
2114,136753,1,0
2115,91836,1,1
2116,84094,1,0
2118,124662,1,1
2119,86073,1,1
2122,48428,1,1
2125,89536,1,1
2125,1595,1,0
2125,121395,1,0
2127,24143,1,0
2127,63253,1,0
2127,99085,1,0
2127,105112,1,0
2129,109181,1,1
2130,32184,1,1
2131,135390,1,1
2133,40279,1,1
2134,96856,1,1
2135,24493,1,1
2137,112316,1,1
2139,4885,1,0
2140,17324,1,1
2142,83133,1,1
2145,130231,1,1
2146,121617,1,1
2147,57312,1,1
2151,32832,1,1
2152,73250,1,1
2155,16805,1,1
2156,58600,1,1
2161,60084,1,0
2162,89536,1,0
2163,98677,1,1
2165,35223,1,1
2166,18380,1,1
2169,56491,1,1
2170,70960,1,0
2174,117782,1,1
2175,71069,1,0
2178,132970,1,1
2179,119479,1,1
2180,1448,1,0
2181,2330,1,0
2184,139422,1,1
2184,79741,1,0
2185,72118,1,1
2188,127310,1,1
